,,,,ENGINESIZE,CYLINDERS,,,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
,,,,2,4,,,9.9,6.7,8.5,33,196
,,,,2.4,4,,,11.2,7.7,9.6,29,221
,,,,1.5,4,,,6,5.8,5.9,48,136
,,,,3.5,6,,,12.7,9.1,11.1,25,255
,,,,3.5,6,,,12.1,8.7,10.6,27,244
,,,,3.5,6,,,11.9,7.7,10,28,230
,,,,3.5,6,,,11.8,8.1,10.1,28,232
,,,,3.7,6,,,12.8,9,11.1,25,255
,,,,3.7,6,,,13.4,9.5,11.6,24,267
,,,,2.4,4,,,10.6,7.5,9.2,31,212
,,,,2.4,4,,,11.2,8.1,9.8,29,225
,,,,3.5,6,,,12.1,8.3,10.4,27,239
,,,,5.9,12,,,18,12.6,15.6,18,359
,,,,5.9,12,,,18,12.6,15.6,18,359
,,,,4.7,8,,,17.4,11.3,14.7,19,338
,,,,4.7,8,,,18.1,12.2,15.4,18,354
,,,,4.7,8,,,17.4,11.3,14.7,19,338
,,,,4.7,8,,,18.1,12.2,15.4,18,354
,,,,5.9,12,,,18,12.6,15.6,18,359
,,,,2,4,,,9.9,7.4,8.8,32,202
,,,,2,4,,,11.5,8.1,10,28,230
,,,,2,4,,,10.8,7.5,9.3,30,214
,,,,2,4,,,11.5,8.1,10,28,230
,,,,2,4,,,11.5,8.1,10,28,230
,,,,2,4,,,10.8,7.5,9.3,30,214
,,,,2,4,,,12,8.1,10.2,28,235
,,,,3,6,,,12.8,8.6,10.9,26,251
,,,,3,6,,,9.8,6.4,8.3,34,224
,,,,3,6,,,13.1,8.8,11.2,25,258
,,,,3,6,,,9.8,6.4,8.3,34,224
,,,,3,6,,,13.1,8.8,11.2,25,258
,,,,4,8,,,13.5,8.6,11.3,25,260
,,,,3,6,,,10,6.4,8.4,34,227
,,,,3,6,,,13.1,8.8,11.2,25,258
,,,,4,8,,,14.7,9.7,12.5,23,288
,,,,6.3,12,,,18.2,12.6,15.7,18,361
,,,,3,6,,,10.1,6.5,8.5,33,230
,,,,2,4,,,11.8,8.8,10.5,27,242
,,,,2,4,,,12,8.5,10.4,27,239
,,,,3,6,,,12.9,9.2,11.2,25,258
,,,,2,4,,,9.9,8.3,9.2,31,212
,,,,3,6,,,10.3,7.6,9.1,31,246
,,,,3,6,,,15.1,10.9,13.2,21,304
,,,,3,6,,,12.9,8.4,10.9,26,294
,,,,4.2,8,,,17.6,11,14.6,19,336
,,,,4.2,8,,,21.2,13.4,17.7,16,407
,,,,5.2,10,,,18.8,11.3,15.4,18,354
,,,,5.2,10,,,21.1,13.8,17.8,16,409
,,,,4.2,8,,,17.6,11,14.6,19,336
,,,,4.2,8,,,21.2,13.4,17.7,16,407
,,,,5.2,10,,,18.8,11.3,15.4,18,354
,,,,5.2,10,,,21.1,13.8,17.8,16,409
,,,,4.2,8,,,15.3,10.9,13.3,21,306
,,,,4.2,8,,,15.2,11.3,13.4,21,308
,,,,4,8,,,15.3,9.3,12.6,22,290
,,,,3,6,,,13.2,9.2,11.4,25,262
,,,,3,6,,,14.6,9.8,12.4,23,285
,,,,3,6,,,13.2,9.2,11.4,25,262
,,,,3,6,,,14.6,9.8,12.4,23,285
,,,,3,6,,,13.3,9.5,11.6,24,267
,,,,4,8,,,14.2,9.7,12.2,23,281
,,,,4,8,,,14.2,9.7,12.2,23,281
,,,,4,8,,,15.4,9.8,12.9,22,297
,,,,3,6,,,14.9,10.1,12.7,22,292
,,,,2,4,,,10.4,7.6,9.1,31,209
,,,,2,4,,,10.4,7.6,9.1,31,209
,,,,2,4,,,11.5,8.8,10.3,27,237
,,,,2,4,,,11.5,8.8,10.3,27,237
,,,,4,8,,,15.4,9.8,12.9,22,297
,,,,6,12,,,18.8,11.5,15.5,18,356
,,,,4,8,,,16.8,10.3,13.9,20,320
,,,,6,12,,,20,12.2,16.5,17,380
,,,,4,8,,,16.7,10.6,14,20,322
,,,,6,12,,,20,12.2,16.5,17,380
,,,,6,12,,,20,12.2,16.5,17,380
,,,,6.8,8,,,22.3,14.9,19,15,437
,,,,2,4,,,10,6.5,8.4,34,193
,,,,2,4,,,10.4,6.7,8.7,32,200
,,,,2,4,,,10.2,7,8.8,32,202
,,,,2,4,,,7.6,5.5,6.7,42,181
,,,,2,4,,,7.6,5.5,6.7,42,181
,,,,2,4,,,10,6.5,8.4,34,193
,,,,2,4,,,10.4,6.7,8.7,32,200
,,,,2,4,,,10.6,7.2,9.1,31,209
,,,,2,4,,,10.6,7.2,9.1,31,209
,,,,2,4,,,10.6,7.2,9.1,31,209
,,,,3,6,,,11.4,7.3,9.6,29,221
,,,,3,6,,,11.8,7.9,10,28,230
,,,,3,6,,,11.7,7.8,9.9,29,228
,,,,3,6,,,11.9,8.3,10.3,27,237
,,,,3,6,,,11.9,8,10.1,28,232
,,,,2,4,,,10,6.5,8.4,34,193
,,,,2,4,,,10.4,6.7,8.7,32,200
,,,,2,4,,,10.6,7.2,9.1,31,209
,,,,3,6,,,11.4,7.3,9.6,29,221
,,,,3,6,,,11.8,7.9,10,28,230
,,,,3,6,,,11.7,7.8,9.9,29,228
,,,,3,6,,,11.9,8.3,10.3,27,237
,,,,2,4,,,10.2,7,8.8,32,202
,,,,2,4,,,10.6,7.2,9.1,31,209
,,,,3,6,,,9.2,6.4,7.9,36,213
,,,,3,6,,,11.9,8,10.1,28,232
,,,,3,6,,,12.5,8.6,10.7,26,246
,,,,4.4,8,,,14.4,9.6,12.2,23,281
,,,,4.4,8,,,15,9.8,12.7,22,292
,,,,3,6,,,11.9,8,10.1,28,232
,,,,4.4,8,,,15,9.8,12.7,22,292
,,,,4.4,8,,,14.4,9.6,12.2,23,281
,,,,4.4,8,,,15,9.8,12.7,22,292
,,,,3,6,,,12.5,8.6,10.7,26,246
,,,,4.4,8,,,15,9.8,12.7,22,292
,,,,4.4,8,,,15,9.8,12.7,22,292
,,,,6,12,,,18.7,11.5,15.5,18,356
,,,,3,6,,,9.2,7.1,8.3,34,191
,,,,3,6,,,10.5,7.9,9.3,30,214
,,,,3,6,,,10.5,7.6,9.2,31,212
,,,,4.4,8,,,15,9.8,12.7,22,292
,,,,4.4,8,,,15,9.8,12.7,22,292
,,,,4.4,8,,,17.3,11.5,14.7,19,338
,,,,4.4,8,,,16.2,10.9,13.8,20,317
,,,,4.4,8,,,17.3,11.5,14.7,19,338
,,,,4.4,8,,,16.2,10.9,13.8,20,317
,,,,4.4,8,,,17.3,11.5,14.7,19,338
,,,,4.4,8,,,16.2,10.9,13.8,20,317
,,,,4.4,8,,,17.3,11.5,14.7,19,338
,,,,4.4,8,,,16.2,10.9,13.8,20,317
,,,,2,4,,,10.6,7.2,9.1,31,209
,,,,3,6,,,13.2,8.9,11.3,25,260
,,,,2,4,,,11.2,8.5,10,28,230
,,,,3,6,,,12.6,9.1,11,26,253
,,,,3,6,,,12.9,8.8,11.1,25,255
,,,,4.4,8,,,16.3,10.9,13.9,20,320
,,,,4.4,8,,,18.1,13.7,16.1,18,370
,,,,3,6,,,13.6,9.8,11.9,24,274
,,,,4.4,8,,,16.4,11.3,14.1,20,324
,,,,2,4,,,10.8,7.1,9.1,31,209
,,,,2,4,,,10.4,6.7,8.7,32,200
,,,,3,6,,,13.7,10.1,12.1,23,278
,,,,3,6,,,12.7,9,11,26,253
,,,,3,6,,,13.7,10.1,12.1,23,278
,,,,3.6,6,,,14.3,9.9,12.3,23,283
,,,,3.6,6,,,14.6,10.2,12.6,22,290
,,,,1.4,4,,,9.5,7.2,8.5,33,196
,,,,1.4,4,,,10.2,8,9.2,31,212
,,,,3.6,6,,,13.7,8.7,11.5,25,264
,,,,3.6,6,,,18.4,12.2,15.6,18,250
,,,,3.6,6,,,13.7,8.9,11.5,25,264
,,,,3.6,6,,,19.4,13,16.5,17,264
,,,,2.4,4,,,9.6,6.5,8.2,34,189
,,,,2,4,,,11.5,7.9,9.9,29,228
,,,,2,4,,,11.6,7.5,9.8,29,225
,,,,2,4,,,12.3,8.7,10.7,26,246
,,,,2.4,4,,,9.6,6.5,8.2,34,189
,,,,2,4,,,11.5,7.9,9.9,29,228
,,,,2,4,,,11.6,7.5,9.8,29,225
,,,,2.4,4,,,11.3,7.4,9.5,30,218
,,,,2,4,,,11.3,7.5,9.6,29,221
,,,,2,4,,,12.1,7.9,10.2,28,235
,,,,2.5,4,,,10.5,7.2,9,31,207
,,,,3.6,6,,,12.8,8.5,10.9,26,251
,,,,2,4,,,11.8,8.1,10.1,28,232
,,,,3.6,6,,,13.1,9,11.3,25,260
,,,,3.6,6,,,13.2,8.7,11.2,25,258
,,,,3.6,6,,,13.3,9,11.4,25,262
,,,,2,4,,,11.9,7.9,10.1,28,232
,,,,3.6,6,,,12.9,8.2,10.8,26,248
,,,,2,4,,,12.6,8.5,10.8,26,248
,,,,3.6,6,,,13.1,9,11.3,25,260
,,,,3.6,6,,,15.1,9.9,12.8,22,294
,,,,3,6,,,12.7,8.9,11,26,253
,,,,3.6,6,,,13.3,8.9,11.3,25,260
,,,,3,6,,,12.8,9.1,11.1,25,255
,,,,3.6,6,,,13.3,9,11.4,25,262
,,,,6.2,8,,,19.7,12.9,16.6,17,382
,,,,6.2,8,,,16.7,12.5,14.8,19,340
,,,,6.2,8,,,19.7,12.9,16.6,17,382
,,,,6.2,8,,,16.7,12.5,14.8,19,340
,,,,6.2,8,,,19.7,12.9,16.6,17,382
,,,,6.2,8,,,16.7,12.5,14.8,19,340
,,,,6.2,8,,,17,11.8,14.7,19,338
,,,,6.2,8,,,23.3,16.1,20.1,14,322
,,,,6.2,8,,,18.8,13.4,16.4,17,377
,,,,6.2,8,,,25.7,17.8,22.1,13,354
,,,,3.6,6,,,14.3,9.8,12.3,23,283
,,,,3.6,6,,,14.8,10.4,12.8,22,294
,,,,3.6,6,,,13.6,8.6,11.4,25,262
,,,,3.6,6,,,14,9.1,11.8,24,271
,,,,3.6,6,,,14.8,9.8,12.6,22,290
,,,,3.6,6,,,13.2,8.7,11.2,25,258
,,,,3.6,6,,,14.2,8.6,11.7,24,269
,,,,3.6,6,,,12.7,7.9,10.5,27,242
,,,,6.2,8,,,15.3,9.8,12.8,22,294
,,,,6.2,8,,,15,9.9,12.7,22,292
,,,,6.2,8,,,19.7,12.9,16.6,17,382
,,,,6.2,8,,,16.7,12.5,14.8,19,340
,,,,6.2,8,,,14.9,8.5,12,24,276
,,,,6.2,8,,,13.7,8.2,11.2,25,258
,,,,1.4,4,,,9.1,6.3,7.8,36,179
,,,,1.4,4,,,9.1,6.3,7.8,36,179
,,,,1.8,4,,,10.5,6.7,8.8,32,202
,,,,1.8,4,,,9.5,6.5,8.2,34,189
,,,,2,4,,,8.7,5.1,7.1,40,192
,,,,1.4,4,,,9.1,6,7.7,37,177
,,,,1.4,4,,,8.4,5.6,7.1,40,163
,,,,2.4,4,,,10.5,7.3,9.1,31,209
,,,,3.6,6,,,13.9,9.6,12,24,276
,,,,3.6,6,,,18.8,13.1,16.2,17,259
,,,,2.4,4,,,11.5,8.2,10,28,230
,,,,3.6,6,,,14.8,9.9,12.6,22,290
,,,,3.6,6,,,19.8,13.6,17,17,272
,,,,4.3,6,,,17.1,12.7,15.1,19,347
,,,,5.3,8,,,18,13.4,15.9,18,366
,,,,5.3,8,,,23.5,17.7,20.9,14,334
,,,,5.3,8,,,18.3,14.2,16.5,17,380
,,,,5.3,8,,,23.7,18.8,21.5,13,344
,,,,5.3,8,,,18.6,13.9,16.5,17,380
,,,,5.3,8,,,23.9,18.5,21.5,13,344
,,,,5.3,8,,,18.3,14.2,16.5,17,380
,,,,5.3,8,,,25.3,19.3,22.6,12,362
,,,,5.3,8,,,18.6,13.9,16.5,17,380
,,,,5.3,8,,,23.9,18.5,21.5,13,344
,,,,5.3,8,,,18.3,14.2,16.5,17,380
,,,,5.3,8,,,25.3,19.3,22.6,12,362
,,,,4.8,8,,,21.1,14.2,18,16,414
,,,,6,8,,,21.9,15,18.8,15,432
,,,,6,8,,,30,20.4,25.7,11,411
,,,,4.8,8,,,21.3,14.3,18.2,16,419
,,,,6,8,,,22.1,15,18.9,15,435
,,,,6,8,,,30.2,20.5,25.8,11,413
,,,,2.5,4,,,11.3,7.5,9.6,29,221
,,,,3.6,6,,,12.6,8.2,10.6,27,244
,,,,3.6,6,,,16.7,11.3,14.3,20,229
,,,,2.4,4,,,10,7,8.7,32,200
,,,,2,4,,,11.5,7.9,9.9,29,228
,,,,2.5,4,,,9.3,6.4,8,35,184
,,,,2.4,4,,,12.2,8.6,10.6,27,244
,,,,2.4,4,,,11.8,8.3,10.2,28,235
,,,,4.3,6,,,13.4,9.9,11.8,24,271
,,,,4.3,6,,,18.9,14.2,16.8,17,269
,,,,5.3,8,,,14.6,10.3,12.7,22,292
,,,,5.3,8,,,19.5,13.7,16.9,17,270
,,,,6.2,8,,,16.3,11.4,14.1,20,324
,,,,4.3,6,,,14.2,10.6,12.6,22,290
,,,,4.3,6,,,20,15.1,17.8,16,285
,,,,5.3,8,,,14.9,10.6,13,22,299
,,,,5.3,8,,,19.9,14.2,17.3,16,277
,,,,6.2,8,,,16.4,11.7,14.3,20,329
,,,,1.4,4,,,9.1,6.7,8,35,184
,,,,1.4,4,,,8.5,6.2,7.5,38,173
,,,,1.8,4,,,9.6,6.6,8.3,34,191
,,,,1.8,4,,,8.9,6.7,7.9,36,182
,,,,1.4,4,,,9.1,6.7,8,35,184
,,,,1.4,4,,,8.5,6.2,7.5,38,172
,,,,1.8,4,,,9.6,6.6,8.3,34,191
,,,,1.8,4,,,8.9,6.7,7.9,36,182
,,,,1.4,4,,,9.4,7,8.3,34,191
,,,,1.4,4,,,8.7,7,7.9,36,182
,,,,1.4,4,,,9.4,7,8.3,34,191
,,,,1.4,4,,,8.7,7,7.9,36,182
,,,,1.2,4,,,7.7,6,6.9,41,159
,,,,1.2,4,,,7.6,6,6.9,41,159
,,,,5.3,8,,,16,11.1,13.8,20,317
,,,,5.3,8,,,21.5,14.6,18.4,15,294
,,,,5.3,8,,,16,11.1,13.8,20,317
,,,,5.3,8,,,21.5,14.6,18.4,15,294
,,,,5.3,8,,,16,11.1,13.8,20,317
,,,,5.3,8,,,21.5,14.6,18.4,15,294
,,,,5.3,8,,,16,11.1,13.8,20,317
,,,,5.3,8,,,21.5,14.6,18.4,15,294
,,,,3.6,6,,,14.3,9.9,12.3,23,283
,,,,3.6,6,,,14.6,10.2,12.6,22,290
,,,,1.4,4,,,9.4,7.1,8.4,34,193
,,,,1.4,4,,,9.1,6.8,8.1,35,186
,,,,1.4,4,,,10,7.8,9,31,207
,,,,3.6,6,,,12.4,7.7,10.3,27,237
,,,,2.4,4,,,11.7,8.2,10.1,28,232
,,,,2.4,4,,,12.9,8.1,10.7,26,246
,,,,3.6,6,,,12.5,8.1,10.5,27,242
,,,,3.6,6,,,17,11.2,14.4,20,230
,,,,2.4,4,,,11.2,8,9.8,29,225
,,,,2.4,4,,,12,7.6,10,28,230
,,,,3.6,6,,,12.5,8.1,10.5,27,242
,,,,3.6,6,,,17,11.2,14.4,20,230
,,,,5.7,8,,,15.8,9.2,12.8,22,294
,,,,3.6,6,,,12.8,8.6,10.9,26,251
,,,,5.7,8,,,16.1,10,13.4,21,308
,,,,3.6,6,,,12.8,8.6,10.9,26,251
,,,,3.6,6,,,17.3,11.7,14.8,19,237
,,,,3.6,6,,,12.4,7.7,10.3,27,237
,,,,3.6,6,,,16.8,10.3,13.9,20,222
,,,,6.4,8,,,16.7,10.3,13.8,20,317
,,,,3.6,6,,,14.1,9.5,12,24,276
,,,,3.6,6,,,19.7,13.3,16.8,17,269
,,,,2.4,4,,,11.2,8,9.8,29,225
,,,,2.4,4,,,12,7.6,10,28,230
,,,,3.6,6,,,12.5,8.1,10.5,27,242
,,,,3.6,6,,,17,11.2,14.4,20,230
,,,,3.6,6,,,13.2,8.7,11.2,25,258
,,,,5.7,8,,,15.6,10,13.1,22,301
,,,,5.7,8,,,15.8,9.2,12.8,22,294
,,,,6.4,8,,,16.8,10.4,13.9,20,320
,,,,6.4,8,,,16.7,10.3,13.8,20,317
,,,,3.6,6,,,13.2,8.7,11.2,25,258
,,,,3.6,6,,,12.4,7.7,10.3,27,237
,,,,5.7,8,,,15.8,9.2,12.8,22,294
,,,,3.6,6,,,12.8,8.6,10.9,26,251
,,,,5.7,8,,,16.1,10,13.4,21,308
,,,,3.6,6,,,12.8,8.6,10.9,26,251
,,,,3.6,6,,,17.3,11.7,14.8,19,237
,,,,3.6,6,,,13.2,8.7,11.2,25,258
,,,,3.6,6,,,18.3,12.6,15.7,18,251
,,,,3.6,6,,,12.3,7.6,10.2,28,235
,,,,3.6,6,,,16.8,10.3,13.9,20,222
,,,,6.4,8,,,16.7,10.3,13.8,20,317
,,,,2,4,,,9.4,6.5,8.1,35,186
,,,,2.4,4,,,10.1,6.8,8.6,33,198
,,,,2.4,4,,,10.5,6.7,8.8,32,202
,,,,2,4,,,9.9,7,8.6,33,198
,,,,2,4,,,14.2,9.8,12.2,23,195
,,,,2.4,4,,,10.6,7.5,9.2,31,212
,,,,2.4,4,,,10.2,7,8.8,32,202
,,,,1.4,4,,,8.4,5.9,7.3,39,168
,,,,1.4,4,,,8.5,5.8,7.3,39,168
,,,,5.7,8,,,17.3,10.8,14.4,20,331
,,,,3.6,6,,,13.9,9.8,12.1,23,278
,,,,3.6,6,,,17.7,13,15.6,18,250
,,,,3.6,6,,,13.7,9.4,11.8,24,271
,,,,3.6,6,,,19.2,13.1,16.5,17,264
,,,,2.4,4,,,12.7,9.1,11.1,25,255
,,,,3.6,6,,,14.5,9.9,12.4,23,285
,,,,3.6,6,,,14.2,9.4,12,24,276
,,,,3.6,6,,,18.9,12.9,16.2,17,259
,,,,1.4,4,,,8.5,6.9,7.8,36,179
,,,,1.4,4,,,8.5,6.9,7.8,36,179
,,,,1.4,4,,,8.7,6.9,7.9,36,182
,,,,1.4,4,,,7.9,6.3,7.2,39,166
,,,,1.4,4,,,8.5,6.9,7.8,36,179
,,,,1.4,4,,,8.7,6.9,7.9,36,182
,,,,1.4,4,,,7.6,5.9,6.8,42,156
,,,,1.4,4,,,8.5,6.9,7.8,36,179
,,,,1.4,4,,,10,7.2,8.7,32,200
,,,,1.4,4,,,9.3,7.2,8.4,34,193
,,,,2,4,,,5.6,6.4,6,47,138
,,,,4.6,8,,,17.7,14.4,16.2,17,373
,,,,4.6,8,,,24.1,19.2,21.9,13,350
,,,,5.4,8,,,19.3,14.7,17.2,16,396
,,,,5.4,8,,,24.9,19.6,22.5,13,360
,,,,4.6,8,,,18.6,14.6,16.8,17,386
,,,,4.6,8,,,25.5,20,23,12,368
,,,,6.8,10,,,23.9,17.8,21.2,13,488
,,,,5.4,8,,,20.6,15.5,18.3,15,421
,,,,5.4,8,,,26.7,20.5,23.9,12,382
,,,,2,4,,,11.3,7.9,9.8,29,225
,,,,3.5,6,,,12.6,8.7,10.8,26,248
,,,,3.5,6,,,13.3,9.3,11.5,25,264
,,,,3.7,6,,,13.7,10.4,12.2,23,281
,,,,1.6,4,,,10.4,7.4,9.1,31,209
,,,,2,4,,,10.9,8,9.6,29,221
,,,,2.5,4,,,10.9,7.5,9.4,30,216
,,,,1.6,4,,,10.5,7.9,9.3,30,214
,,,,2,4,,,11.2,8.5,10,28,230
,,,,5.4,8,,,18.2,13.3,16,18,368
,,,,5.4,8,,,24.5,18,21.6,13,346
,,,,2,4,,,11.8,8.3,10.2,28,235
,,,,3.5,6,,,14.8,10.7,13,22,299
,,,,3.5,6,,,13.7,9.7,11.9,24,274
,,,,3.5,6,,,18.3,12.9,15.9,18,254
,,,,3.5,6,,,14.3,10.3,12.5,23,288
,,,,3.5,6,,,18.9,13.9,16.7,17,267
,,,,3.5,6,,,14.5,10.6,12.7,22,292
,,,,3.5,6,,,14.6,10.6,12.8,22,294
,,,,6.2,8,,,18.3,12.9,15.9,18,366
,,,,3.5,6,,,15.9,11.3,13.8,20,317
,,,,3.5,6,,,15.4,11,13.4,21,308
,,,,6.2,8,,,20.1,14.4,17.5,16,402
,,,,3.7,6,,,14,10.3,12.3,23,283
,,,,3.7,6,,,18.8,13.7,16.5,17,264
,,,,3.7,6,,,14,10.3,12.3,23,283
,,,,3.7,6,,,18.8,13.7,16.5,17,264
,,,,5,8,,,16.4,12.3,14.6,19,336
,,,,5,8,,,22.1,16.7,19.7,14,315
,,,,5,8,,,16.4,12.3,14.6,19,336
,,,,5,8,,,22.1,16.7,19.7,14,315
,,,,3.7,6,,,15,11.4,13.4,21,308
,,,,3.7,6,,,20.2,15.3,18,16,288
,,,,3.7,6,,,15,11.4,13.4,21,308
,,,,3.7,6,,,20.2,15.3,18,16,288
,,,,5,8,,,16.8,12.6,14.9,19,343
,,,,5,8,,,22.4,17,20,14,320
,,,,5,8,,,16.7,12.5,14.8,19,340
,,,,5,8,,,22.4,16.9,19.9,14,318
,,,,6.2,8,,,20.4,15,18,16,414
,,,,1.6,4,,,8.5,6.5,7.6,37,175
,,,,1.6,4,,,8.6,6.4,7.6,37,175
,,,,1,4,,,7.5,5.5,6.6,43,152
,,,,1.6,4,,,8,5.8,7,40,161
,,,,1.6,4,,,8.9,6.8,8,35,184
,,,,3.5,6,,,13.2,9.4,11.5,25,264
,,,,3.5,6,,,13.7,10.2,12.1,23,278
,,,,3.5,6,,,14.8,10.4,12.8,22,294
,,,,2,4,,,10.2,7.4,8.9,32,205
,,,,2,4,,,8.8,6.4,7.7,37,177
,,,,2,4,,,11.7,8.5,10.3,27,165
,,,,2,4,,,8.9,6.4,7.8,36,179
,,,,2,4,,,11.7,8.5,10.3,27,165
