,,,,ENGINESIZE,CYLINDERS,,,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
,,,,2,4,,,9.6,6.8,8.3,34,191
,,,,2.4,4,,,10.5,8.2,9.5,30,218
,,,,2,4,,,14.2,10.5,12.5,23,288
,,,,2,4,,,14,10.3,12.3,23,283
,,,,2,4,,,13.4,9.4,11.6,24,267
,,,,2,4,,,9.6,7.3,8.6,33,198
,,,,2,4,,,9.8,7.1,8.6,33,198
,,,,1.2,3,,,6.4,5.4,6,47,138
,,,,1.2,3,,,7,5.6,6.4,44,147
,,,,2.4,4,,,9.5,7.5,8.6,33,198
,,,,2.4,4,,,9.9,8.1,9.1,31,209
,,,,3,6,,,11.5,8.5,10.2,28,235
,,,,2,4,,,9.6,7.6,8.7,32,200
,,,,2,4,,,9.9,7.5,8.8,32,202
,,,,2,4,,,9.8,8,9,31,207
,,,,3.7,6,,,12.6,9.1,11,26,253
,,,,3.7,6,,,13.3,9.3,11.5,25,264
,,,,3.7,6,,,13,9.5,11.4,25,262
,,,,3.7,6,,,13.5,9.6,11.7,24,269
,,,,2.5,4,,,8.7,6.2,7.6,37,175
,,,,3.5,6,,,10.8,7.4,9.3,30,214
,,,,5.6,8,,,19.1,13.4,16.5,17,380
,,,,2.5,4,,,13.7,10.6,12.3,23,283
,,,,2.5,4,,,12.2,10.2,11.3,25,260
,,,,4,6,,,14.7,10.2,12.7,22,292
,,,,4,6,,,15.7,11.2,13.7,21,315
,,,,4,6,,,14.8,11,13.1,22,301
,,,,3.8,6,,,14.5,10.9,12.9,22,297
,,,,1.6,4,,,8.7,7.3,8.1,35,186
,,,,1.6,4,,,9.5,7.6,8.6,33,198
,,,,1.6,4,,,9.3,7.9,8.7,32,200
,,,,3.5,6,,,12.3,9.1,10.9,26,251
,,,,3.5,6,,,13.2,10.1,11.8,24,271
,,,,2,4,,,10,8.5,9.3,30,214
,,,,3.5,6,,,12,8.9,10.6,27,244
,,,,3.5,6,,,12.3,9.3,11,26,253
,,,,2.5,4,,,9.1,8.5,8.8,32,202
,,,,3.5,6,,,12.5,9.5,11.1,25,255
,,,,2.5,4,,,9.2,7.2,8.3,34,191
,,,,2.5,4,,,9.5,7.4,8.6,33,198
,,,,1.8,4,,,7.8,6,7,40,161
,,,,1.8,4,,,8.7,6.6,7.8,36,179
,,,,5.6,8,,,17.9,12.8,15.6,18,359
,,,,5.6,8,,,19.7,14.3,17.3,16,398
,,,,1.6,4,,,7.2,5.8,6.6,43,152
,,,,1.6,4,,,8.6,6.5,7.7,37,177
,,,,4,6,,,16.1,11.9,14.2,20,327
,,,,4,6,,,15.2,11.9,13.7,21,315
,,,,3.4,6,,,11.6,8.3,10.1,28,232
,,,,3.4,6,,,12.5,8.6,10.7,26,246
,,,,3.4,6,,,11.8,8.5,10.3,27,237
,,,,3.4,6,,,12.4,8.6,10.7,26,246
,,,,3.4,6,,,12,8.7,10.5,27,242
,,,,3.4,6,,,12.6,9,11,26,253
,,,,3.8,6,,,12.3,8.9,10.8,26,248
,,,,3.8,6,,,12.8,8.9,11,26,253
,,,,3.8,6,,,12.7,9,11,26,253
,,,,3.8,6,,,12.9,9.1,11.2,25,258
,,,,3.4,6,,,11.6,8.3,10.1,28,232
,,,,3.4,6,,,12.4,8.6,10.7,26,246
,,,,3.8,6,,,12.1,8.7,10.6,27,244
,,,,3.8,6,,,12.6,8.6,10.8,26,248
,,,,3.8,6,,,12.4,8.7,10.7,26,246
,,,,3.8,6,,,12.6,8.8,10.9,26,251
,,,,3.8,6,,,16,11.5,14,20,322
,,,,3.8,6,,,13.7,9.6,11.9,24,274
,,,,3.8,6,,,13.7,9.6,11.9,24,274
,,,,3.8,6,,,13.7,9.6,11.9,24,274
,,,,3.8,6,,,13.7,9.6,11.9,24,274
,,,,2.7,6,,,10.7,7.4,9.2,31,212
,,,,2.7,6,,,11.5,7.9,9.9,29,228
,,,,3.4,6,,,11.3,7.9,9.8,29,225
,,,,3.4,6,,,11.9,8.6,10.4,27,239
,,,,3.6,6,,,13.6,10.1,12,24,276
,,,,3.6,6,,,15.8,10.9,13.6,21,313
,,,,3,6,,,12.2,8.1,10.4,27,281
,,,,4.8,8,,,15.9,11.4,13.9,20,320
,,,,4.8,8,,,15,10.6,13,22,299
,,,,3,6,,,11.8,9.9,10.9,26,251
,,,,4.8,8,,,15.9,10.9,13.7,21,315
,,,,2.7,6,,,10.7,7.4,9.2,31,212
,,,,2.7,6,,,11.5,7.9,9.9,29,228
,,,,3.4,6,,,11.3,7.9,9.8,29,225
,,,,3.4,6,,,11.9,8.6,10.4,27,239
,,,,3.6,6,,,12.9,8.4,10.9,26,251
,,,,3.6,6,,,13.1,8.7,11.1,25,255
,,,,3,6,,,13.4,8.8,11.3,25,260
,,,,3,6,,,13.7,8.9,11.5,25,264
,,,,4.8,8,,,15.1,9.7,12.7,22,292
,,,,3,6,,,13.4,8.8,11.3,25,260
,,,,4.8,8,,,15.3,9.7,12.8,22,294
,,,,4.8,8,,,15.4,9.8,12.9,22,297
,,,,5.7,8,,,17.1,12,14.8,19,340
,,,,5.7,8,,,15.8,10.9,13.6,21,313
,,,,5.7,8,,,17.6,12.7,15.4,18,354
,,,,5.7,8,,,16.3,11.5,14.1,20,324
,,,,3,6,,,12.1,8.8,10.6,27,286
,,,,3.6,6,,,14.6,10.1,12.6,22,290
,,,,3.6,6,,,20.5,14.5,17.8,16,285
,,,,3,6,,,11.6,8.4,10.2,28,275
,,,,3.6,6,,,13.9,9.5,11.9,24,274
,,,,3.6,6,,,19.4,13.6,16.8,17,269
,,,,3.6,6,,,12.9,9.3,11.3,25,260
,,,,3.6,6,,,13.3,9.1,11.4,25,262
,,,,3.6,6,,,18.6,12.7,15.9,18,254
,,,,6.6,12,,,19.1,12.3,16,18,368
,,,,6.6,12,,,19.1,12.3,16,18,368
,,,,6.7,12,,,20.7,12.8,17.1,17,393
,,,,6.7,12,,,20.7,12.8,17.1,17,393
,,,,6.7,12,,,20.7,12.7,17.1,17,393
,,,,6.7,12,,,20.7,12.7,17.1,17,393
,,,,6.6,12,,,18.7,11.8,15.6,18,359
,,,,2,4,,,9.6,7,8.4,34,193
,,,,2,4,,,10.9,7.8,9.5,30,218
,,,,1.3,4,,,6.6,5.7,6.2,46,143
,,,,2.5,4,,,10.2,7.5,9,31,207
,,,,2.5,4,,,10.2,7.6,9,31,207
,,,,2.4,4,,,10.9,8.6,9.9,29,228
,,,,2.4,4,,,10.9,8.6,9.9,29,228
,,,,1.8,4,,,8.8,7.1,8,35,184
,,,,1.8,4,,,8.6,7.1,7.9,36,182
,,,,1,3,,,6.9,5.7,6.4,44,147
,,,,1,3,,,6.9,5.7,6.4,44,147
,,,,8.4,10,,,20,13,16.9,17,389
,,,,8.4,10,,,20,13,16.9,17,389
,,,,2,4,,,9.6,7.1,8.5,33,196
,,,,2,4,,,11,7.9,9.6,29,221
,,,,2,4,,,10.2,8.6,9.5,30,218
,,,,2.5,4,,,9.6,7.4,8.6,33,198
,,,,2.5,4,,,10.9,8.3,9.7,29,223
,,,,2,4,,,8.7,6.6,7.8,36,179
,,,,2,4,,,9.6,7.1,8.5,33,196
,,,,2.5,4,,,12.6,9.5,11.2,25,258
,,,,2.5,4,,,14.2,10.4,12.5,23,288
,,,,2,4,,,8.7,6.6,7.8,36,179
,,,,2,4,,,9.6,7.1,8.5,33,196
,,,,2.5,4,,,12.6,9.5,11.2,25,258
,,,,2.5,4,,,14.2,10.4,12.5,23,288
,,,,2.5,4,,,9.7,7.3,8.6,33,198
,,,,2.5,4,,,11.3,8.2,9.9,29,228
,,,,3.6,6,,,13.3,9.5,11.6,24,267
,,,,2.5,4,,,9.9,7.8,9,31,207
,,,,2.5,4,,,10.8,8.5,9.8,29,225
,,,,3.6,6,,,13.4,9.7,11.7,24,269
,,,,3.6,6,,,14.7,11.1,13.1,22,301
,,,,2,4,,,9.5,7.2,8.5,33,196
,,,,2,4,,,10.2,8,9.2,31,212
,,,,2,4,,,8.1,7.2,7.7,37,177
,,,,4,6,,,14.3,11.1,12.9,22,297
,,,,4,6,,,14.3,11.1,12.9,22,297
,,,,3.5,6,,,11.3,7.6,9.6,29,221
,,,,2.5,4,,,9.5,6.6,8.2,34,189
,,,,3.5,6,,,11.1,7.8,9.6,29,221
,,,,2.5,4,,,5.5,5.9,5.7,50,131
,,,,2.5,4,,,5.8,6.2,6,47,138
,,,,1.8,4,,,8.6,6.5,7.7,37,177
,,,,1.8,4,,,8.1,6.3,7.3,39,168
,,,,1.8,4,,,8,5.9,7.1,40,163
,,,,1.8,4,,,8.3,6.3,7.4,38,170
,,,,1.8,4,,,7.7,5.6,6.8,42,156
,,,,1.8,4,,,7.8,5.9,6.9,41,159
,,,,1.8,4,,,9.4,7.5,8.5,33,196
,,,,1.8,4,,,8.9,7.3,8.2,34,189
,,,,4,6,,,14.3,11.2,12.9,22,297
,,,,4,6,,,15.4,12.1,13.9,20,320
,,,,2.7,4,,,11.7,8.6,10.3,27,237
,,,,3.5,6,,,12.6,9.4,11.2,25,258
,,,,3.5,6,,,13,9.7,11.5,25,264
,,,,3.5,6,,,8,8.6,8.3,34,191
,,,,3.5,6,,,7.9,8.6,8.2,34,189
,,,,1.8,4,,,4.7,4.9,4.8,59,110
,,,,1.5,4,,,4.6,4.9,4.7,60,108
,,,,1.8,4,,,5.3,5.8,5.5,51,126
,,,,2.5,4,,,10,7.6,8.9,32,205
,,,,2.5,4,,,10.4,8.1,9.4,30,216
,,,,2.5,4,,,10.6,8.2,9.5,30,218
,,,,5.7,8,,,19,13.9,16.7,17,384
,,,,3.5,6,,,12.9,9.4,11.3,25,260
,,,,3.5,6,,,14.2,10.3,12.4,23,285
,,,,2.7,4,,,12.2,9.3,10.9,26,251
,,,,2.7,4,,,11.3,8.9,10.2,28,235
,,,,4,6,,,14.5,11.3,13.1,22,301
,,,,2.7,4,,,13.1,10.5,11.9,24,274
,,,,2.7,4,,,12.8,10.6,11.8,24,271
,,,,4,6,,,14.7,11.5,13.3,21,306
,,,,4,6,,,15.3,12.3,14,20,322
,,,,4,6,,,14.8,11.8,13.5,21,310
,,,,4.6,8,,,15.9,12.3,14.3,20,329
,,,,5.7,8,,,17.6,12.9,15.5,18,356
,,,,4.6,8,,,16.9,12.8,15.1,19,347
,,,,5.7,8,,,18.1,13.9,16.2,17,373
,,,,2.7,4,,,11.4,8.2,10,28,230
,,,,3.5,6,,,12.6,9.1,11,26,253
,,,,2.7,4,,,11.6,8.5,10.2,28,235
,,,,3.5,6,,,12.9,9.4,11.3,25,260
,,,,1.5,4,,,7.9,6.6,7.3,39,168
,,,,1.5,4,,,7.8,6.3,7.1,40,163
,,,,1.8,4,,,9.5,7.2,8.5,33,196
,,,,1.8,4,,,9.9,7.2,8.7,32,200
,,,,2,4,,,10.3,7.7,9.1,31,209
,,,,2,4,,,10.8,7.6,9.4,30,216
,,,,2.5,5,,,10.9,8.4,9.8,29,225
,,,,2.5,5,,,11.2,7.7,9.6,29,221
,,,,1.8,4,,,9.8,7.3,8.7,32,200
,,,,2,4,,,10.3,8.1,9.3,30,214
,,,,2,4,,,10.8,7.6,9.4,30,216
,,,,2.5,5,,,11.2,8.7,10.1,28,232
,,,,2,4,,,8.2,6.1,7.3,39,197
,,,,2,4,,,8.5,5.8,7.3,39,197
,,,,2,4,,,11.1,7.9,9.7,29,223
,,,,2,4,,,11.6,7.7,9.8,29,225
,,,,3.6,6,,,14.3,9.8,12.3,23,283
,,,,2,4,,,10.9,8,9.6,29,221
,,,,2.5,5,,,11,7.7,9.5,30,218
,,,,2.5,5,,,11.2,7.3,9.4,30,216
,,,,2,4,,,8.2,6,7.2,39,194
,,,,2,4,,,7.9,5.6,6.9,41,186
,,,,1.8,4,,,9.5,6.7,8.2,34,189
,,,,1.8,4,,,9.4,6.7,8.2,34,189
,,,,2,4,,,10.6,8,9.4,30,216
,,,,2,4,,,10.4,7.2,9,31,207
,,,,2,4,,,10.2,7.5,9,31,207
,,,,2,4,,,10.6,7.4,9.2,31,212
,,,,2,4,,,7.9,5.7,6.9,41,186
,,,,2,4,,,7.9,5.6,6.9,41,186
,,,,1.4,4,,,5.6,5.2,5.4,52,124
,,,,1.8,4,,,9.9,6.9,8.6,33,198
,,,,1.8,4,,,10,6.9,8.6,33,198
,,,,2.5,5,,,11,8,9.7,29,223
,,,,2.5,5,,,11.4,7.8,9.8,29,225
,,,,3.6,6,,,12.4,8.8,10.8,26,248
,,,,2,4,,,8.1,5.9,7.1,40,192
,,,,2,4,,,8,5.4,6.8,42,184
,,,,3.6,6,,,14.2,9.5,12.1,23,278
,,,,2,4,,,11.7,9.5,10.7,26,246
,,,,2,4,,,13.6,9.2,11.6,24,267
,,,,2,4,,,11.7,9.4,10.7,26,246
,,,,3.6,6,,,13.8,10.3,12.2,23,281
,,,,3,6,,,12.3,8,10.4,27,281
,,,,2.5,5,,,11.3,7.8,9.7,29,223
,,,,2.5,5,,,11.6,8.3,10.1,28,232
,,,,3,6,,,13.2,9.5,11.5,25,264
,,,,3.2,6,,,11.9,8.1,10.2,28,235
,,,,3,6,,,13.2,9.5,11.5,25,264
,,,,3.2,6,,,13,8.9,11.2,25,258
,,,,3,6,,,13.4,9.8,11.8,24,271
,,,,3.2,6,,,13.2,9.5,11.5,25,264
,,,,3,6,,,13.4,9.8,11.8,24,271
,,,,3.2,6,,,12.9,9.3,11.3,25,260
,,,,3.2,6,,,14.9,10.2,12.8,22,294
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
